origin,type_origin,destination,tipo_destination,distance_euclidiane,distance_geo
A15,collection,C20,clasification,3,450.677
A15,collection,C21,clasification,3,451.684
A16,collection,C1,clasification,0,138.529
A16,collection,C2,clasification,0,5.863
A16,collection,C3,clasification,0,3.219
A16,collection,C4,clasification,0,1.16
A16,collection,C5,clasification,0,4.714
A16,collection,C6,clasification,0,4.684
A16,collection,C7,clasification,0,11.95
A16,collection,C8,clasification,1,180.125
A16,collection,C9,clasification,1,180.125
A16,collection,C10,clasification,1,180.125
A16,collection,C11,clasification,2,424.615
A16,collection,C12,clasification,2,437.326
A16,collection,C13,clasification,2,431.829
A16,collection,C14,clasification,2,432.3
A16,collection,C15,clasification,2,436.457
A16,collection,C16,clasification,2,450.43
A16,collection,C17,clasification,2,434.906
A16,collection,C18,clasification,2,448.458
A16,collection,C19,clasification,2,435.315
A16,collection,C20,clasification,3,453.654
A16,collection,C21,clasification,3,454.66
A17,collection,C1,clasification,0,140.873
A17,collection,C2,clasification,0,8.207
A17,collection,C3,clasification,0,5.562
A17,collection,C4,clasification,0,2.502
A17,collection,C5,clasification,0,2.699
A17,collection,C6,clasification,0,2.669
A17,collection,C7,clasification,0,9.973
A17,collection,C8,clasification,1,177.095
A17,collection,C9,clasification,1,177.095
A17,collection,C10,clasification,1,177.095
A17,collection,C11,clasification,2,421.585
A17,collection,C12,clasification,2,434.296
A17,collection,C13,clasification,2,428.8
A17,collection,C14,clasification,2,429.27
A17,collection,C15,clasification,2,433.428
A17,collection,C16,clasification,2,447.4
A17,collection,C17,clasification,2,431.876
A17,collection,C18,clasification,2,445.429
A17,collection,C19,clasification,2,432.286
A17,collection,C20,clasification,3,450.624
A17,collection,C21,clasification,3,451.631
A18,collection,C1,clasification,0,141.722
A18,collection,C2,clasification,0,9.056
A18,collection,C3,clasification,0,6.411
A18,collection,C4,clasification,0,2.529
A18,collection,C5,clasification,0,2.347
A18,collection,C6,clasification,0,2.318
A18,collection,C7,clasification,0,9.911
A18,collection,C8,clasification,1,176.743
A18,collection,C9,clasification,1,176.743
A18,collection,C10,clasification,1,176.743
A18,collection,C11,clasification,2,421.234
A18,collection,C12,clasification,2,433.944
A18,collection,C13,clasification,2,428.448
A18,collection,C14,clasification,2,428.919
A18,collection,C15,clasification,2,433.076
A18,collection,C16,clasification,2,447.049
A18,collection,C17,clasification,2,431.524
A18,collection,C18,clasification,2,445.077
A18,collection,C19,clasification,2,431.934
A18,collection,C20,clasification,3,450.272
A18,collection,C21,clasification,3,451.279
A19,collection,C1,clasification,0,138.311
A19,collection,C2,clasification,0,5.645
A19,collection,C3,clasification,0,3.001
A19,collection,C4,clasification,0,1.218
A19,collection,C5,clasification,0,5.046
A19,collection,C6,clasification,0,5.016
A19,collection,C7,clasification,0,11.732
A19,collection,C8,clasification,1,179.907
A19,collection,C9,clasification,1,179.907
A19,collection,C10,clasification,1,179.907
A19,collection,C11,clasification,2,424.397
A19,collection,C12,clasification,2,437.108
A19,collection,C13,clasification,2,431.612
A19,collection,C14,clasification,2,432.082
A19,collection,C15,clasification,2,436.239
A19,collection,C16,clasification,2,450.212
A19,collection,C17,clasification,2,434.688
A19,collection,C18,clasification,2,448.24
A19,collection,C19,clasification,2,435.097
A19,collection,C20,clasification,3,453.436
A19,collection,C21,clasification,3,454.443
A20,collection,C1,clasification,0,140.858
A20,collection,C2,clasification,0,8.192
A20,collection,C3,clasification,0,5.547
A20,collection,C4,clasification,0,2.588
A20,collection,C5,clasification,0,2.653
A20,collection,C6,clasification,0,2.623
A20,collection,C7,clasification,0,9.958
A20,collection,C8,clasification,1,177.049
A20,collection,C9,clasification,1,177.049
A20,collection,C10,clasification,1,177.049
A20,collection,C11,clasification,2,421.539
A20,collection,C12,clasification,2,434.25
A20,collection,C13,clasification,2,428.754
A20,collection,C14,clasification,2,429.224
A20,collection,C15,clasification,2,433.381
A20,collection,C16,clasification,2,447.354
A20,collection,C17,clasification,2,431.83
A20,collection,C18,clasification,2,445.382
A20,collection,C19,clasification,2,432.239
A20,collection,C20,clasification,3,450.578
A20,collection,C21,clasification,3,451.585
A21,collection,C1,clasification,1,145.79
A21,collection,C2,clasification,0,16.052
A21,collection,C3,clasification,0,13.408
A21,collection,C4,clasification,0,9.646
A21,collection,C5,clasification,0,6.881
A21,collection,C6,clasification,0,6.722
A21,collection,C7,clasification,0,11.916
A21,collection,C8,clasification,1,173.329
A21,collection,C9,clasification,1,173.329
A21,collection,C10,clasification,1,173.329
A21,collection,C11,clasification,2,417.819
A21,collection,C12,clasification,2,430.53
A21,collection,C13,clasification,2,425.034
A21,collection,C14,clasification,2,425.504
A21,collection,C15,clasification,2,429.662
A21,collection,C16,clasification,2,443.634
A21,collection,C17,clasification,2,428.11
A21,collection,C18,clasification,2,441.663
A21,collection,C19,clasification,2,428.519
A21,collection,C20,clasification,2,446.858
A21,collection,C21,clasification,2,447.865
A22,collection,C1,clasification,1,145.83
A22,collection,C2,clasification,0,16.092
A22,collection,C3,clasification,0,13.448
A22,collection,C4,clasification,0,9.686
A22,collection,C5,clasification,0,6.921
A22,collection,C6,clasification,0,6.762
A22,collection,C7,clasification,0,11.956
A22,collection,C8,clasification,1,173.369
A22,collection,C9,clasification,1,173.369
A22,collection,C10,clasification,1,173.369
A22,collection,C11,clasification,2,417.859
A22,collection,C12,clasification,2,430.57
A22,collection,C13,clasification,2,425.074
A22,collection,C14,clasification,2,425.544
A22,collection,C15,clasification,2,429.701
A22,collection,C16,clasification,2,443.674
A22,collection,C17,clasification,2,428.15
A22,collection,C18,clasification,2,441.702
A22,collection,C19,clasification,2,428.559
A22,collection,C20,clasification,2,446.898
A22,collection,C21,clasification,2,447.905
A23,collection,C1,clasification,1,147.441
A23,collection,C2,clasification,0,17.704
A23,collection,C3,clasification,0,15.059
A23,collection,C4,clasification,0,11.297
A23,collection,C5,clasification,0,8.532
A23,collection,C6,clasification,0,8.373
A23,collection,C7,clasification,0,12.521
A23,collection,C8,clasification,1,171.982
A23,collection,C9,clasification,1,171.982
A23,collection,C10,clasification,1,171.982
A23,collection,C11,clasification,2,416.472
A23,collection,C12,clasification,2,429.183
A23,collection,C13,clasification,2,423.687
A23,collection,C14,clasification,2,424.157
A23,collection,C15,clasification,2,428.315
A23,collection,C16,clasification,2,442.287
A23,collection,C17,clasification,2,426.763
A23,collection,C18,clasification,2,440.316
A23,collection,C19,clasification,2,427.172
A23,collection,C20,clasification,2,445.511
A23,collection,C21,clasification,2,446.518
A24,collection,C1,clasification,1,152.806
A24,collection,C2,clasification,0,16.632
A24,collection,C3,clasification,0,13.988
A24,collection,C4,clasification,0,11.859
A24,collection,C5,clasification,0,10.333
A24,collection,C6,clasification,0,10.303
A24,collection,C7,clasification,0,0.361
A24,collection,C8,clasification,1,175.281
A24,collection,C9,clasification,1,175.281
A24,collection,C10,clasification,1,175.281
A24,collection,C11,clasification,2,419.771
A24,collection,C12,clasification,2,432.482
A24,collection,C13,clasification,2,426.985
A24,collection,C14,clasification,2,427.456
A24,collection,C15,clasification,2,431.613
A24,collection,C16,clasification,2,445.586
A24,collection,C17,clasification,2,430.062
A24,collection,C18,clasification,2,443.614
A24,collection,C19,clasification,2,430.471
A24,collection,C20,clasification,2,448.81
A24,collection,C21,clasification,3,449.816
A25,collection,C1,clasification,1,152.426
A25,collection,C2,clasification,0,17.165
A25,collection,C3,clasification,0,14.52
A25,collection,C4,clasification,0,12.392
A25,collection,C5,clasification,0,10.865
A25,collection,C6,clasification,0,10.836
A25,collection,C7,clasification,0,0.919
A25,collection,C8,clasification,1,175.813
A25,collection,C9,clasification,1,175.813
A25,collection,C10,clasification,1,175.813
A25,collection,C11,clasification,2,420.303
A25,collection,C12,clasification,2,433.014
A25,collection,C13,clasification,2,427.518
A25,collection,C14,clasification,2,427.989
A25,collection,C15,clasification,2,432.146
A25,collection,C16,clasification,2,446.118
A25,collection,C17,clasification,2,430.594
A25,collection,C18,clasification,2,444.147
A25,collection,C19,clasification,2,431.004
A25,collection,C20,clasification,2,449.342
A25,collection,C21,clasification,3,450.349
A26,collection,C1,clasification,1,171.237
A26,collection,C2,clasification,0,52.66
A26,collection,C3,clasification,0,50.016
A26,collection,C4,clasification,0,47.887
A26,collection,C5,clasification,0,44.591
A26,collection,C6,clasification,0,44.432
A26,collection,C7,clasification,0,44.645
A26,collection,C8,clasification,1,145.811
A26,collection,C9,clasification,1,145.811
A26,collection,C10,clasification,1,145.811
A26,collection,C11,clasification,2,390.302
A26,collection,C12,clasification,2,403.012
A26,collection,C13,clasification,2,397.516
A26,collection,C14,clasification,2,397.987
A26,collection,C15,clasification,2,402.144
